,Angular Correction (Arcsec),Apparent Angle (Degrees),Max Angular Correction (Arcsec),Min Angular Correction (Arcsec)
0,0.0,0.0,0.0,0.0
1,0.8770306577256409,1.0,0.9408685734969296,0.8131919690051397
2,1.7547363473464859,2.0,1.8824511109035826,1.6270200394939636
3,2.633793619194062,3.0000000000000004,2.82546318959597,2.4421217363550833
4,3.514882068431722,4.0,3.770623622384301,3.2591374387409138
5,4.398685877427187,5.0,4.718656096386814,4.078711825950376
6,5.285895382291736,6.000000000000001,5.670290837605989,4.901495345899579
7,6.177208671981042,7.0,6.6262663100765895,5.728145714254168
8,7.073333228570197,8.0,7.587330958758427,6.559329452068004
9,7.974987617871511,9.0,8.55424500584621,7.395723470660244
10,8.882903239775489,10.0,9.527782310592539,8.238016712646063
11,9.797826148614273,11.0,10.508732303364086,9.086911858406971
12,10.72051895380673,12.000000000000002,11.497902005214936,9.94312710811394
13,11.651762812970853,13.0,12.496118145260084,10.807398050309638
14,12.592359529236864,14.0,13.504229389096723,11.680479628187765
15,13.543133766346426,14.999999999999998,14.523108692185069,12.563148216639652
16,14.504935396319922,16.0,15.553655793966826,13.45620382329289
17,15.478641995321052,17.0,16.596799869438286,14.36047242878763
18,16.465161505185687,18.0,17.65350235659537,15.276808482314848
19,17.46543507995408,19.0,18.724759980572458,16.206097570679315
20,18.48044013815376,20.0,19.811607996052484,17.149259280535453
21,19.511193644780843,21.0,20.915123673733742,18.107250275699954
22,20.5587556484445,22.0,22.03643005780664,19.0810676141586
23,21.624233102723263,23.0,23.176700025515746,20.07175233151454
24,22.708784004228242,24.000000000000004,24.33716068253877,21.080393321277715
25,23.81362188317738,25.0,25.51909813326136,22.108131546082117
26,24.94002068670461,26.0,26.723862668118024,23.156164617089114
27,26.089320100887107,27.0,27.95287441668458,24.225751785063984
28,27.262931362397282,28.0,29.207629521058447,25.318219390208014
29,28.46234361728143,29.000000000000004,30.489706890051504,26.43496682561457
30,29.68913089277122,29.999999999999996,31.800775604864853,27.57747307546919
31,30.944959755636994,31.0,33.142603053784875,28.74730389734637
32,32.17179570469701,32.0,34.517063886492956,29.890023208856938
33,33.48737752027105,33.0,35.858667090774105,31.11607691826853
34,34.8373922872426,34.0,37.30025501125187,32.37451927314405
35,36.22394577325054,35.0,38.78055392559714,33.6673286682201
36,37.649286479029726,36.0,40.301949412624694,34.996616007077435
37,39.11581785081734,37.0,41.86699164577008,36.36463816882582
38,40.62611422960309,38.0,43.47841233436756,37.77381215233091
39,42.182937681731495,39.0,45.139142600873704,39.226730997389076
40,43.789256977935764,40.0,46.85233314021272,40.7261815837017
41,45.44826885717276,41.0,48.62137680686466,42.27516457232716
42,47.16342190641583,42.0,50.44993397974578,43.876916800660865
43,48.938443440530015,43.0,52.341961115088544,45.53493649079424
44,50.77736983564952,44.0,54.3017429668473,47.253011695863925
45,52.684580843444294,45.0,56.33392903698466,49.03525248035959
46,54.66483851513241,46.0,58.44357492186811,50.88612742182075
47,56.72333147119831,47.0,60.636189338620845,52.81050512676211
48,58.86572539766513,48.00000000000001,62.917787765379956,54.8137015840133
49,61.09822081366461,49.0,65.29495380670731,56.901534336554725
50,63.42761936174352,50.0,67.7749096137037,59.08038464499317
51,65.86140012429101,51.0,70.36559695596344,61.3572690517367
52,68.40780777898804,52.0,73.07577087164822,63.739922045231715
53,71.07595478867822,53.0,75.9151082286629,66.23689188370415
54,73.87594029937163,54.0,78.89433403852473,68.85765208306893
55,76.81898901608888,55.0,82.02536899651139,71.61273163495048
56,79.91761407334124,56.0,85.32150251829583,74.5138677209927
57,83.18580886991232,57.00000000000001,88.79759655316495,77.57418557950861
58,86.63927403971819,58.00000000000001,92.47032673409788,80.80841131099969
59,90.29568727858612,59.00000000000001,96.35846906981755,84.2331248576612
60,94.17502573911368,59.99999999999999,100.48324250146834,87.8670622582464
61,98.29995329468372,61.0,104.86872040016016,91.7314787069485
62,102.69628836251972,62.0,109.54232768440556,95.85058711956137
63,107.39357244833319,63.0,114.53544499175302,100.25209109758244
64,112.4257655235937,64.0,119.88414766767518,104.96783675830503
65,117.83210234349681,65.0,125.63011583527212,110.0346153819794
66,123.65815464760014,66.0,131.82176333990859,115.49515898052042
67,129.95715903812558,67.0,138.51564915739584,121.39938479427619
68,136.79169090075354,68.0,145.77825674562402,127.80596398712233
69,144.23579356840676,69.0,153.68825750036697,134.78431679984888
70,152.3777128544744,70.0,162.33941803694458,142.41717472832227
71,161.32344597361165,71.0,171.8443737137028,150.8039054044865
72,171.2013998476509,72.0,182.33958235581255,160.06487629092393
73,182.1685813208353,73.0,193.99190796897307,170.34725258338128
74,194.4189342212957,74.0,207.00748921640212,181.8328046267191
75,208.19473395892604,75.0,221.64386262924634,194.74857659535294
76,223.80241423622243,76.0,238.22680510210492,209.3817016188541
77,241.63494434917544,77.0,257.1741537138977,226.1003432633127
78,262.20409785776604,78.0,279.0301654437317,245.38388414589565
79,286.18801640458645,79.0,304.5161826007139,267.86740671490253
80,314.50305953925584,80.0,334.60720388675844,294.408854327584
81,348.41537906106765,81.0,370.6508596074274,326.19326379577
82,389.7196861735331,82.0,414.5581768822358,364.8996467450932
83,441.03609269434304,83.0,469.1206428109834,412.9778333772787
84,506.3237347825553,84.0,538.5594983004777,474.126902616621
85,591.8132341274007,85.0,629.5246201678204,554.1623076651614
86,707.7987336684482,86.0,753.0186478721124,662.6785118572025
87,872.3279517486202,87.0,928.3722255955462,816.4612689962377
88,1119.4865847548554,88.0,1192.213514213903,1047.110299844684
89,1520.2441413321965,89.0,1621.2201289954362,1420.0676209389053
